"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
"vote",1,139,0.987341772151899,0.259016393442623,0.422459893048128,2,2,0.333333333333333,0.333333333333333,"X[,2] %in% c('n') & X[,4] %in% c('n')","'democrat'","V2,V4"
"vote",1,221,0.95,0.0655737704918033,0.106951871657754,2,2,0.333333333333333,0.333333333333333,"X[,3] %in% c('n') & X[,4] %in% c('n')","'democrat'","V3,V4"
"vote",1,331,0.989583333333333,0.314754098360656,0.813559322033898,3,3,0.5,0.5,"X[,4] %in% c('y') & X[,11] %in% c('n') & X[,15] %in% c('n')","'republican'","V4,V11,V15"
"vote",1,410,0.95,0.327868852459016,0.847457627118644,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('y') & X[,12] %in% c('y')","'republican'","V4,V12"
"vote",1,467,0.967391304347826,0.301639344262295,0.491978609625668,3,3,0.5,0.5,"X[,2] %in% c('y') & X[,3] %in% c('y') & X[,4] %in% c('n')","'democrat'","V2,V3,V4"
"vote",1,568,0.970588235294118,0.222950819672131,0.576271186440678,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('y') & X[,10] %in% c('y')","'republican'","V4,V10"
"vote",2,136,0.988505747126437,0.285245901639344,0.73728813559322,4,4,0.666666666666667,0.666666666666667,"X[,3] %in% c('n') & X[,4] %in% c('y') & X[,13] %in% c('y') & X[,14] %in% c('y')","'republican'","V3,V4,V13,V14"
"vote",2,199,0.9,0.0655737704918033,0.106951871657754,2,2,0.333333333333333,0.333333333333333,"X[,3] %in% c('n') & X[,4] %in% c('n')","'democrat'","V3,V4"
"vote",2,459,0.987577639751553,0.527868852459016,0.86096256684492,2,2,0.333333333333333,0.333333333333333,"X[,3] %in% c('y') & X[,4] %in% c('n')","'democrat'","V3,V4"
"vote",2,506,0.979166666666667,0.314754098360656,0.813559322033898,3,3,0.5,0.5,"X[,4] %in% c('y') & X[,5] %in% c('y') & X[,11] %in% c('n')","'republican'","V4,V5,V11"
